,provider,trigger,mean_latency,p50_latency,p99_latency,x_offset,y_offset
0,AWS,HTTP,47.463977746870700,41.0,151.06000000000000,13,0
1,AWS,Queue,120.73963838664800,111.0,267.06000000000000,50,0
2,AWS,Storage,1379.7116240267000,1345.0,2215.750000000000,780,0
8,Azure,HTTP,33.481001970166100,32.0,65.0,-8,0
9,Azure,Queue,620.326062639821,611.0,1155.5000000000000,-165,-0.06
10,Azure,Storage,6874.2886869871000,6616.000000000000,23190.029999999900,4100,0
11,Azure,Database,85.18718522663680,43.0,1614.3600000000000,15,0
12,Azure,Service Bus,357.8565793181180,334.0,800.3200000000000,125,0.06
13,Azure,Event Hub,312.30583613916900,302.00000000000000,519.2199999999990,-90,0
14,Azure,Event Grid,676.8342696629210,642.0,1026.0,270,0
15,Azure,Timer,53.034422910037600,36.00000000000000,83.88000000000010,0,0.4
